ID	Date	News Portal	Headline	Claim	Sentiment
BN/PRTD/241229/007	29-12-2024	Sangbad Pratidin	নেই বিশ্বকাপের সেরা বুমরাহ, বর্ষসেরা টি-২০ ক্রিকেটারের দৌড়ে বাবরকে মনোনয়ন আইসিসির	Checkworthy	NEUTRAL
BN/BTMN/241016/033	16-10-2024	Bartaman	দুর্যোগের সঠিক ছবি পেতে সুন্দরবনের ব্লকে ব্লকে বসল উচ্চ ক্ষমতার ক্যামেরা	Checkworthy	NEUTRAL
BN/PRTD/241114/051	14-11-2024	Sangbad Pratidin	‘দেমাক’! রণবীর সিংকে ৩ ঘণ্টা বসিয়েও না বললেন মুকেশ, বিশ বাঁও জলে ‘শক্তিমান’?	Not-Checkworthy	NEUTRAL
BN/BTMN/241014/019	14-10-2024	Bartaman	প্রতিদিন এক গাঁট হলুদ খেলে শরীরে কী কী পরিবর্তন হতে থাকে?	Checkworthy	NEUTRAL
BN/PRTD/241122/027	22-11-2024	Sangbad Pratidin	স্কুলের সামনে স্টোনচিপসের স্তূপে বিস্ফোরণ! বনগাঁয় আহত ২ পড়ুয়া, তীব্র চাঞ্চল্য এলাকায়	Checkworthy	NEGATIVE
BN/NS18/240814/071	14-08-2024	News18 Bangla	‘নারকীয়, ভয়ঙ্কর ঘটনা’,RG Kar-এ মহিলা চিকিৎসক খুনের ঘটনায় CBI তদন্ত চাইলেন কঙ্গনা	Checkworthy	NEGATIVE
BN/ESMY/241231/005	31-12-2024	Ei Samay	একটিমাত্র সিগারেট পুরুষ-মহিলার গড় আয়ু কমিয়ে দিচ্ছে কয়েক মিনিট করে	Checkworthy	NEGATIVE
BN/BTMN/241121/024	21-11-2024	Bartaman	অবিভক্ত বাংলার সাতক্ষীরা জেলার ধূলিহর গ্রামে জন্মেছিলেন মনোজ মিত্র। শৈশবে মনোজ দেখেছেন, গ্রামজুড়ে নাটকের পরিবেশ। অভিনয় দেখতে পছন্দ করতেন অধিকাংশ...	Not-Checkworthy	NEUTRAL
BN/PRTD/241201/073	01-12-2024	Sangbad Pratidin	বিশ্বে প্রথম যৌনকর্মীদের পেনশন, মাতৃত্বকালীন ছুটি, স্বাস্থ্যবিমা! যুগান্তকারী আইন বেলজিয়ামে	Checkworthy	POSITIVE
BN/PRTD/250106/051	06-01-2025	Sangbad Pratidin	‘অসাধারণ মহিলা’, সৈকতঘেঁষা রিসর্টে মেলোনির সঙ্গে সাক্ষাৎ ট্রাম্পের, ভরালেন প্রশংসায়	Checkworthy	POSITIVE
BN/BTMN/241117/021	17-11-2024	Bartaman	বাড়ির সামনে প্রস্রাব করায় বৃদ্ধাকে পিটিয়ে খুন বাগদায়, ধৃত প্রতিবেশী বাবা ও মেয়ে	Checkworthy	NEGATIVE
BN/BTMN/241005/014	05-10-2024	Bartaman	পুজো বাজারের শেষ উইকএন্ড, ঠাকুর দেখা আজ থেকেই	Checkworthy	NEUTRAL
BN/PRTD/240819/043	19-08-2024	Sangbad Pratidin	সব ম্যাচই ‘ফাইনাল’ মহামেডানের, সুপার সিক্সের লক্ষ্যে এরিয়ানের মুখোমুখি সাদা-কালো ব্রিগেড	Checkworthy	NEUTRAL
BN/PRTD/241016/052	16-10-2024	Sangbad Pratidin	লক্ষ্মীমন্ত ইয়ালিনী, মিষ্টি হাসিতেই ভুবনজয়! নতুন ছবি পোস্ট করলেন শুভশ্রী	Not-Checkworthy	POSITIVE
BN/BTMN/241108/037	08-11-2024	Bartaman	বসানো হবে ১০৮ সিসি ক্যামেরা বাড়বে নিরাপত্তারক্ষীর সংখ্যাও	Checkworthy	NEUTRAL
BN/PRTD/240812/021	12-08-2024	Sangbad Pratidin	জুনিয়র ডাক্তার খুনের নেপথ্য একা সঞ্জয় নাকি জড়িয়ে আরও কেউ? খুঁজতে সিট সদস্য বেড়ে শতাধিক	Checkworthy	NEGATIVE
BN/PRTD/250107/012	07-01-2025	Sangbad Pratidin	বিয়ের জন্য ফিডিং বোতলে মদ্যপান! ভাইরাল রুদ্রনীলের জন্মদিনের ভিডিও	Not-Checkworthy	NEUTRAL
BN/PRTD/250112/021	12-01-2025	Sangbad Pratidin	সাগরে পূণ্যস্নান সেরে ফেরার পথে দুষ্কৃতীর কবলে! প্রায় সাড়ে ৩ লক্ষ টাকা খোয়ালেন পূণ্যার্থী	Checkworthy	NEGATIVE
BN/BTMN/240810/002	10-08-2024	Bartaman	জনপ্লাবনে ভেসে যাত্রা শেষ এনআরএসে, বিদায় বুদ্ধদেব	Checkworthy	NEGATIVE
BN/BTMN/241127/014	27-11-2024	Bartaman	পুলিসকে ফাঁকি দিতেই চলন্ত ট্রেনের যাত্রীদের ‘টার্গেট’, স্কুলে সাইকেল চুরি দিয়ে অপরাধের হাতেখড়ি	Checkworthy	NEGATIVE
BN/PRTD/241122/012	22-11-2024	Sangbad Pratidin	চা খাওয়াতে ডেকে মদ্যপান করিয়ে কিশোরীকে গণধর্ষণ! গ্রেপ্তার নাবালক প্রেমিক-সহ ৩	Checkworthy	NEGATIVE
BN/BTMN/240918/044	18-09-2024	Bartaman	লেবাননে হিজবুল্লা সদস্যদের ব্যবহৃত একের পর এক পেজারে বিস্ফোরণ। মঙ্গলবারের...	Checkworthy	NEGATIVE
BN/PRTD/240921/001	21-09-2024	Sangbad Pratidin	হেলিকপ্টারের তেল শেষ! ঝাড়খণ্ডে ভোটপ্রচারে এসে বিপাকে রাজনাথ সিং	Checkworthy	NEGATIVE
BN/BTMN/241204/022	04-12-2024	Bartaman	জুন থেকে অক্টোবরের মধ্যে কতগুলি খুন করেছে রাহুল!  জানতে মরিয়া গুজরাত পুলিস	Checkworthy	NEGATIVE
BN/BTMN/241023/034	23-10-2024	Bartaman	‘মা অসুস্থ, অ্যামপ্লিফায়ার বিক্রি করব’, সোশ্যাল মিডিয়ায় বিজ্ঞাপন দিয়ে প্রতারণা	Checkworthy	NEGATIVE
BN/BTMN/241006/013	06-10-2024	Bartaman	বাংলায় সরকারিভাবে নিরখচায় চিকিৎসা, পিজিতে জন্ম প্রথম টেস্ট টিউব বেবির	Checkworthy	POSITIVE
BN/BTMN/250108/044	08-01-2025	Bartaman	সরকার মজে আছে ধর্মীয় বিভাজন ও ভবিষ্যতের প্রতিশ্রুতি বিলিতে। আর...	Not-Checkworthy	NEGATIVE
BN/PRTD/240928/017	28-09-2024	Sangbad Pratidin	স্মৃতির চৌকাঠে পুজোর দিনগুলি, ছোলার ডাল রাঁধতে রাঁধতে গল্প শোনাতেন মামীমা	Not-Checkworthy	NEUTRAL
BN/PRTD/250108/019	08-01-2025	Sangbad Pratidin	বর্ধমানের সাধুবাবাকে ‘ডিজিটাল অ্যারেস্ট’! কিছু না পেয়ে আশীর্বাদ নিয়ে গায়েব প্রতারক	Checkworthy	NEGATIVE
BN/PRTD/241011/032	11-10-2024	Sangbad Pratidin	ঠাকুর দেখে দেরিতে বাড়ি ফেরায় বকুনি, রাগে মাকে এলোপাথাড়ি কোপ! ‘আত্মঘাতী’ তরুণী	Checkworthy	NEGATIVE
BN/PRTD/241125/067	25-11-2024	Sangbad Pratidin	বাংলাদেশের পরে শ্রীলঙ্কা, আদানি গোষ্ঠীর বিদ্যুৎচুক্তি খতিয়ে দেখার সিদ্ধান্ত দ্বীপরাষ্ট্রের মন্ত্রিসভার	Checkworthy	NEUTRAL
BN/BTMN/241016/037	16-10-2024	Bartaman	ভ্রমণ প্রেমীদের জন্য সুখবর। আরও কম সময়ে পৌঁছনো যাবে সৈকত...	Checkworthy	POSITIVE
BN/PRTD/240810/035	10-08-2024	Sangbad Pratidin	আবাস যোজনায় বরাদ্দ অর্থ প্রদান, সংরক্ষণ-সহ ৫ বড় ঘোষণা কেন্দ্রের	Checkworthy	NEUTRAL
BN/BTMN/241016/032	16-10-2024	Bartaman	মেরামত করার সময় বাঁধে ধস, জেসিবি পড়ে গেল নদীর গর্ভে	Checkworthy	NEGATIVE
BN/PRTD/241123/058	23-11-2024	Sangbad Pratidin	খুদে রোবটের হাতে অপহৃত ১২ ‘ধেড়ে’ যন্ত্রমানব!	Checkworthy	NEUTRAL
BN/BTMN/250113/014	13-01-2025	Bartaman	৪৪ লক্ষের অনুমোদন ঝুলে, ফের টোপ আবেদনের!  আবাসে অ্যাপের চমক মোদির	Checkworthy	NEUTRAL
BN/PRTD/241021/049	21-10-2024	Sangbad Pratidin	‘আমাকে ভারতে থাকতে দিন’, রেসিডেন্স পারমিট শেষ হওয়ায় অমিত শাহকে আর্জি তসলিমার	Checkworthy	NEUTRAL
BN/BTMN/241126/007	26-11-2024	Bartaman	পরকীয়া সন্দেহে স্ত্রীকে খুন করল স্বামী, গ্রেপ্তার	Checkworthy	NEGATIVE
BN/PRTD/240809/091	09-08-2024	Sangbad Pratidin	দুধ না দুগ্ধজাত খাবার, কোনটা বেশি ভালো? জানালেন বিশেষজ্ঞ	Checkworthy	NEUTRAL
BN/PRTD/241016/068	16-10-2024	Sangbad Pratidin	লেবাননে হেজবোল্লার সুড়ঙ্গের হদিশ পেল ইজরায়েল, এবার মাটির নিচেও জ্বলবে আগুন!	Checkworthy	NEGATIVE
BN/BTMN/240922/040	22-09-2024	Bartaman	লেবাননে পেজার বিস্ফোরণ, নাম জড়াল ভারতীয় বংশোদ্ভূতের সংস্থার	Checkworthy	NEGATIVE
BN/BTMN/241123/005	23-11-2024	Bartaman	প্রয়াত ‘লালপাহাড়ির দেশে যা’ গানের রচয়িতা  অরুণ চক্রবর্তী	Checkworthy	NEGATIVE
BN/PRTD/241016/076	16-10-2024	Sangbad Pratidin	ফের বরবেশে রণবীর, ‘ব্ল্যাক বিউটি’ অনন্যা, দুই তারকার ছবি থেকে চোখ ফেরানো দায়	Not-Checkworthy	POSITIVE
BN/PRTD/240815/014	15-08-2024	Sangbad Pratidin	‘সহ্যের সীমা ছাড়িয়ে গিয়েছে’, আর জি করের ‘গুণ্ডামি’কে তোপ অভিষেকের	Checkworthy	NEGATIVE
BN/ESMY/241230/007	30-12-2024	Ei Samay	২০০ বনকর্মীর অক্লান্ত পরিশ্রম, ‘বাঘ বন্দি’ খেলায় রাজ্যের খরচ কত হলো?	Checkworthy	NEUTRAL
BN/PRTD/240920/039	20-09-2024	Sangbad Pratidin	‘কংগ্রেসের ইস্তেহারে পাকিস্তানে বল্লে বল্লে’, কাশ্মীরে দাঁড়িয়ে বিরোধীদের তোপ মোদির	Checkworthy	NEGATIVE
BN/BTMN/241023/005	23-10-2024	Bartaman	ওয়েনাড় উপ-নির্বাচন: মনোনয়নপত্র জমা দিলেন কংগ্রেস নেত্রী প্রিয়াঙ্কা	Checkworthy	NEUTRAL
BN/BTMN/241116/002	16-11-2024	Bartaman	বাড়ির চিলেকোঠায় উদ্ধার উত্তর বারাকপুর পুরসভার ভাইস চেয়ারম্যানের দেহ	Checkworthy	NEGATIVE
BN/PRTD/240830/008	30-08-2024	Sangbad Pratidin	মহিলাদের শৌচালয়ে লুকনো ক্যামেরা, ভিডিও বিক্রি মোটা টাকায়! চাঞ্চল্য অন্ধ্রপ্রদেশের কলেজে	Checkworthy	NEGATIVE
BN/PRTD/241022/061	22-10-2024	Sangbad Pratidin	বলি থেকে ভোগ! ‘ভয়ংকরী’ রঘু ডাকাতের কালী, পুজোর আমেজ হুগলির হংসেশ্বরী মন্দিরেও	Checkworthy	NEUTRAL
BN/PRTD/241128/104	28-11-2024	Sangbad Pratidin	গ্রহের যোগেই হবে টাকার বর্ষা! ডিসেম্বরে সুখের মুখ দেখবে ৩ রাশির জাতক-জাতিকা	Not-Checkworthy	POSITIVE
BN/PRTD/241122/013	22-11-2024	Sangbad Pratidin	‘কেজরির চেয়ে হাজার গুণ ভালো’, মুখ্যমন্ত্রী অতিশীর প্রশংসায় পঞ্চমুখ দিল্লির উপরাজ্যপাল	Checkworthy	POSITIVE
BN/BTMN/241109/002	09-11-2024	Bartaman	গুজরাতে ধুমধাম করে গাড়ির ‘শ্রাদ্ধ’ করলেন ব্যবসায়ী! আমন্ত্রিত ১৫০০	Checkworthy	NEUTRAL
BN/BTMN/241127/041	27-11-2024	Bartaman	ঘরোয়া লিগ আর কবে শেষ হবে?	Not-Checkworthy	NEUTRAL
BN/PRTD/241014/007	14-10-2024	Sangbad Pratidin	এবার লক্ষ্মীপুজোর তোড়জোড়, পঞ্জিকা মতে কবে করবেন ধনদেবীর আরাধনা?	Not-Checkworthy	NEUTRAL
BN/PRTD/241204/012	04-12-2024	Sangbad Pratidin	ডিসেম্বরেই বদলে যাচ্ছে ক্রেডিট কার্ড ব্যবহারের নিয়ম, না জানলে ফ্যাসাদে পড়বেন	Checkworthy	NEGATIVE
BN/BTMN/240829/032	29-08-2024	Bartaman	রাখাইনে কোণঠাসা মায়ানমার বাহিনী, শীঘ্রই ‘স্বাধীন’ হওয়ার পথে আরাকান রাজ্য!	Checkworthy	POSITIVE
BN/BTMN/250111/002	11-01-2025	Bartaman	শিয়ালদহ স্টেশনের বাইরে ফুড কোর্টে আগুন, অকুস্থলে দমকলের ৩টি ইঞ্জিন	Checkworthy	NEGATIVE
BN/BTMN/241230/054	30-12-2024	Bartaman	ঝলমলে কীর্তির আলোয় দুশো পার বুমবুমের	Not-Checkworthy	POSITIVE
BN/BTMN/241113/023	13-11-2024	Bartaman	হানি ট্র্যাপের হাতছানিতে এক লক্ষ ৮০ হাজার টাকা খোয়ালেন জয়পুরের যুবক	Checkworthy	NEGATIVE
BN/PRTD/240928/078	28-09-2024	Sangbad Pratidin	ট্রাম বন্ধ হওয়া এই শহরে চক্ররেলের চল্লিশ বছর	Checkworthy	NEUTRAL
BN/PRTD/241227/039	27-12-2024	Sangbad Pratidin	একশো বছরের পুরনো বিপজ্জনক বাড়ি ভাঙল জলপাইগুড়ি পুরসভা, ব্যবসায়ীদের মাথায় হাত	Checkworthy	NEGATIVE
BN/BTMN/241124/024	24-11-2024	Bartaman	দুই ফুসফুসে আটকে দু’টি দাঁত! প্রৌঢ়ের প্রাণ বাঁচাল এনআরএস	Checkworthy	POSITIVE
BN/PRTD/240830/015	30-08-2024	Sangbad Pratidin	‘নিজের দেশেই নির্বাসিত…’, এমন অনুভূতি কেন কঙ্গনার মনে?	Not-Checkworthy	NEUTRAL
BN/PRTD/241022/047	22-10-2024	Sangbad Pratidin	১০ কোটির বিজ্ঞাপনের কাজ ছাড়লেন অনিল কাপুর! জানেন কেন?	Checkworthy	NEUTRAL
BN/PRTD/240826/045	26-08-2024	Sangbad Pratidin	বিশ্বকাপ দেখেননি আমজনতা! আইসিসির কাছে ৮০০ কোটির ‘ক্ষতিপূরণ’ দাবি হটস্টারের?	Checkworthy	NEGATIVE
BN/BTMN/241028/039	28-10-2024	Bartaman	বাজেয়াপ্ত লৌহ আকরিক চুরি ও বিক্রির দায়ে জেল হল কংগ্রেস...	Checkworthy	NEGATIVE
BN/BTMN/241112/011	12-11-2024	Bartaman	৫ হাজার অ্যাকাউন্টে দু’বার টাকা, প্রাথমিক রিপোর্টে তোলপাড়,  ট্যাব-অনিয়মে বিদ্ধ প্রধান শিক্ষকরা	Checkworthy	NEGATIVE
BN/PRTD/241101/006	01-11-2024	Sangbad Pratidin	মায়ের ‘পরকীয়া’র বদলা! জোড়াবাগান খুনে ‘খুদে ডাকাতে’র কীর্তিতে হতবাক পুলিশ	Checkworthy	NEGATIVE
BN/PRTD/240823/013	23-08-2024	Sangbad Pratidin	‘গ্রেট খালি’র থেকেও লম্বা! ‘স্ত্রী ২’র ‘সরকটে’ আসলে কে জানেন?	Not-Checkworthy	NEUTRAL
BN/PRTD/240822/013	22-08-2024	Sangbad Pratidin	মার্কিন মুলুকে ৯০ ফুটের হনুমান মূর্তি, ৭২ ফুটের মালায় প্রাণপ্রতিষ্ঠা, হেলিকপ্টার থেকে পুষ্পবৃষ্টি	Checkworthy	NEUTRAL
BN/BTMN/241025/010	25-10-2024	Bartaman	শিবপুরে গ্যাংওয়ার, গুলি করে কুপিয়ে খুন জেল ফেরত দুষ্কৃতী	Checkworthy	NEGATIVE
BN/BTMN/241103/048	03-11-2024	Bartaman	চোট সারিয়ে ক্লাব ফুটবলে মাঠে ফিরেছেন তিনি। তবে এখনই জাতীয়...	Checkworthy	NEUTRAL
BN/PRTD/241207/059	07-12-2024	Sangbad Pratidin	শীতেও যৌন জীবনে উষ্ণতা পেতে চান? রইল বেডরুম টিপস	Not-Checkworthy	NEUTRAL
BN/BTMN/241114/051	14-11-2024	Bartaman	রাফিনহা ও ভিনিসিয়াসের ফর্ম স্বস্তিতে রাখছে ব্রাজিলকে, প্যারাগুয়ের বিরুদ্ধে আত্মবিশ্বাসী মেসিরা	Checkworthy	POSITIVE
BN/PRTD/241023/080	23-10-2024	Sangbad Pratidin	ক্যাপিটাল মার্কেট ইনফ্রাস্ট্রাকচারের সুলুক-সন্ধান, জেনে নিন নানা তথ্য	Checkworthy	NEUTRAL
BN/ESMY/241205/007	05-12-2024	Ei Samay	ছাত্রীকে কুপ্রস্তাবের অভিযোগ, সাসপেন্ড স্কটিশের অধ্যাপক	Checkworthy	NEGATIVE
BN/BTMN/241227/032	27-12-2024	Bartaman	খাদে গাড়ি, ত্রিপুরায় জখম সোদপুরের ৩	Checkworthy	NEGATIVE
BN/BTMN/250103/018	03-01-2025	Bartaman	নবান্নে পর্যালোচনা বৈঠক: মুখ্যমন্ত্রীর ভর্ৎসনা একাধিক মন্ত্রী, আমলাকে	Checkworthy	NEGATIVE
BN/BTMN/241111/026	11-11-2024	Bartaman	নদীবক্ষে লুকিয়ে ৫ ঘণ্টা! মৃত্যু পাচারকারীর	Checkworthy	NEGATIVE
BN/PRTD/240928/097	28-09-2024	Sangbad Pratidin	‘ওপেন এআই’-এ ফের ‘নাটক’! সংস্থা ছাড়লেন অভিজ্ঞ আধিকারিক মীরা মূর্তি	Checkworthy	NEGATIVE
BN/PRTD/240918/047	18-09-2024	Sangbad Pratidin	বিসিসিআইয়ের দেখানো পথে আইসিসি, পুরুষ ও মহিলা ক্রিকেটে সমান হচ্ছে পুরস্কারমূল্য	Checkworthy	POSITIVE
BN/PRTD/241226/050	26-12-2024	Sangbad Pratidin	পিছিয়ে পড়েও দুর্দান্ত প্রত্যাবর্তন, সন্তোষ ট্রফির সেমিফাইনালে বাংলা	Checkworthy	POSITIVE
BN/BTMN/240825/035	25-08-2024	Bartaman	আর জি করে ঘটনার জেরে রাজ্যের প্রতিটি মেডিক্যাল কলেজ ও...	Checkworthy	NEGATIVE
BN/PRTD/240905/062	05-09-2024	Sangbad Pratidin	‘না পোষালে ভারত ছাড়ুন’, উইকিপিডিয়াকে ‘ব্লক’ করার হুঁশিয়ারি আদালতের	Checkworthy	NEGATIVE
BN/BTMN/241106/029	06-11-2024	Bartaman	প্রথাগত তত্ত্ব এখন বদলেছে, যুদ্ধক্ষেত্রে ড্রোনই এক্স ফ্যাক্টর	Checkworthy	NEUTRAL
BN/PRTD/241103/009	03-11-2024	Sangbad Pratidin	বোর্ডের ‘নির্দেশে’ও ঘরোয়া ক্রিকেট খেলেননি কোহলি-রোহিতরা! তারকারা ব্যর্থ হতেই তুঙ্গে বিতর্ক	Checkworthy	NEGATIVE
BN/PRTD/241017/038	2024-10-17 00:00:00	Sangbad Pratidin	কৃষ্ণসার হরিণ হত্যাকাণ্ডে ক্ষমা চাইবেন সলমন! মানতে হবে ২৯টি কঠোর নিয়ম	Checkworthy	NEGATIVE
BN/BTMN/241028/047	28-10-2024	Bartaman	"সিপিএমের জাত গেল, পেটও ভরল না!
হিমাংশু সিংহ"	Not-Checkworthy	NEGATIVE
BN/BTMN/250101/037	01-01-2025	Bartaman	বছর কার্যত শেষ হয়ে গেল। অথচ এখনও রাজ্য বিজেপির পরবর্তী...	Not-Checkworthy	NEUTRAL
BN/PRTD/250103/009	03-01-2025	Sangbad Pratidin	‘পুষ্পা ২’ প্রিমিয়ার কাণ্ডে আল্লু অর্জুনের জামিন, কী কী শর্ত মানতে হবে?	Checkworthy	NEUTRAL
BN/PRTD/250102/023	02-01-2025	Sangbad Pratidin	আজ ভাগ্য নির্ধারণ চিন্ময় প্রভুর, জেলমুক্তি নাকি ফের ষড়যন্ত্রের জালে জড়াবেন হিন্দু সন্ন্যাসী?	Checkworthy	NEUTRAL
BN/BTMN/241213/009	13-12-2024	Bartaman	দুয়ারে জাঁকিয়ে ঠান্ডা! জেলায় জেলায় পারদ পতন, শীতের কাঁপুনি কলকাতাতেও	Checkworthy	NEGATIVE
BN/BTMN/241022/036	22-10-2024	Bartaman	স্টেশন সংলগ্ন দু’টি বাড়িতে আগুন, কোনওক্রমে প্রাণে বাঁচলেন প্যান্ট্রি কারের কর্মীরা	Checkworthy	NEGATIVE
BN/PRTD/241205/045	05-12-2024	Sangbad Pratidin	‘প্রিয় বন্ধুরাও অচেনা হয়ে যায়’, ফের ইঙ্গিতপূর্ণ পোস্ট হরভজনের, নিশানায় কি ধোনি?	Not-Checkworthy	NEGATIVE
BN/PRTD/241206/042	06-12-2024	Sangbad Pratidin	নয়া প্রেসিডেন্ট পেল এশিয়ান ক্রিকেট কাউন্সিল, জয় শাহের ছেড়ে যাওয়া আসনে কে?	Checkworthy	NEUTRAL
BN/BTMN/240921/044	21-09-2024	Bartaman	"আবেগ, আন্দোলন এবং আইন
সমৃদ্ধ দত্ত"	Not-Checkworthy	NEUTRAL
BN/PRTD/241107/036	07-11-2024	Sangbad Pratidin	রাহুলের সভায় বিলি করা সংবিধানের কপি ফাঁকা! ভিডিও পোস্ট করে কংগ্রেসকে তোপ বিজেপির	Checkworthy	NEGATIVE
BN/PRTD/241226/055	26-12-2024	Sangbad Pratidin	চুমুতে মাখামাখি মেট্রো, শালীনতার পাঠ রুদ্রনীলের!	Not-Checkworthy	NEUTRAL
BN/PRTD/241020/058	20-10-2024	Sangbad Pratidin	‘বেসরকারি হাসপাতালের ব্যবসা বাড়াতেই সরকারি হাসপাতালে বন্ধ পরিষেবা’	Checkworthy	NEGATIVE
BN/BTMN/241228/038	28-12-2024	Bartaman	আবার হামলা হলে পাকিস্তান আক্রমণ, দিয়েছিলেন হুঁশিয়ারি, স্মৃতি চারণা প্রাক্তন ব্রিটিশ প্রধানমন্ত্রীর	Checkworthy	NEGATIVE
BN/PRTD/241206/028	06-12-2024	Sangbad Pratidin	রাজ্যের প্রস্তাবেই সিলমোহর, ৬ বিশ্ববিদ্যালয়ের স্থায়ী উপাচার্যের নাম চূড়ান্ত রাজ্যপালের	Checkworthy	NEUTRAL
BN/BTMN/241007/014	07-10-2024	Bartaman	সমালোচিত হয়ে যোগ প্রথম সারির মুখেদের, অনশনে আরও স্বেচ্ছাসেবী চাই,  হোয়াটসঅ্যাপ গ্রুপে বার্তা চিকিৎসক সংগঠনের	Checkworthy	NEGATIVE
BN/PRTD/250103/062	03-01-2025	Sangbad Pratidin	শীতকালীন পাতে ‘হট রেসিপি’, পালং শাক দিয়ে মাছ-মাংস, ডিমের রকমারি রেসিপি	Not-Checkworthy	NEUTRAL
BN/PRTD/241207/054	07-12-2024	Sangbad Pratidin	হাত-পা বাঁধা, সন্দেশখালিতে আদিবাসী যুবতীর দেহ উদ্ধারে চাঞ্চল্য	Checkworthy	NEGATIVE
BN/BTMN/241003/015	03-10-2024	Bartaman	বঙ্গনারীর জীবনে মুক্তিসূর্য লক্ষ্মীর ভাণ্ডার: অভিষেক	Not-Checkworthy	POSITIVE
BN/BTMN/241122/043	22-11-2024	Bartaman	দুই কলেজের সংঘর্ষে রণক্ষেত্র ঢাকা, ছোড়া হল কাঁদানে গ্যাস ও সাউন্ড গ্রেনেড	Checkworthy	NEGATIVE
BN/PRTD/240812/066	12-08-2024	Sangbad Pratidin	ভিনেশের ‘বঞ্চনা’ থেকে ইমানে খেলিফের লিঙ্গ-পরিচয়, প্যারিস অলিম্পিকে বিতর্কের আটকাহন	Checkworthy	NEGATIVE
BN/PRTD/240923/008	23-09-2024	Sangbad Pratidin	চাকরিপ্রার্থীদের বিক্ষোভের মাঝেই উচ্চ প্রাথমিকের প্যানেল প্রকাশের ঘোষণা, জেনে নিন দিনক্ষণ	Checkworthy	NEUTRAL
BN/BTMN/241231/017	31-12-2024	Bartaman	ঘন জঙ্গলে জিনাতের সন্ধান পেতে কৃত্রিম মেধার ব্যবহার	Checkworthy	NEUTRAL
BN/BTMN/250104/024	04-01-2025	Bartaman	সব্জির দাম বেশি নেওয়া হচ্ছে? হাওড়া ও বারাসতের বাজারে হানা	Checkworthy	NEUTRAL
BN/PRTD/241113/068	13-11-2024	Sangbad Pratidin	ট্রাম্প জিততেই আমেরিকা ছাড়ার ধুম! অন্য দেশে থিতু হতে চাইছেন বহু মার্কিনী	Checkworthy	NEGATIVE
BN/BTMN/240928/026	28-09-2024	Bartaman	ইচ্ছেডানার আকাঙ্খা থেকে রবীন্দ্রনাথের সৃষ্টি, চিত্তরঞ্জনের দুই পুজোয় থিম ভাবনা	Not-Checkworthy	NEUTRAL
BN/BTMN/240925/017	25-09-2024	Bartaman	ত্রিপুরায় ৫৮৪ জঙ্গির আত্মসমর্পণ, রাজ্যে সন্ত্রাসমুক্তির দাবি মুখ্যমন্ত্রীর	Checkworthy	POSITIVE
BN/BTMN/241021/030	21-10-2024	Bartaman	পোষ্যের রোগনির্ণয়ে কল্যাণীতে রাজ্যের অত্যাধুনিক ল্যাবরেটরি	Checkworthy	NEUTRAL
BN/PRTD/241114/079	14-11-2024	Sangbad Pratidin	শিশুদের হাতেই ভবিষ্যৎ পৃথিবীর ভার, আর্থিকভাবে শক্ত করতে মেনে চলুন কয়েকটি নিয়ম	Not-Checkworthy	POSITIVE
